Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day
2017-09-29,445.0,448.5299987792969,443.55999755859375,447.0899963378906,404.4997253417969,457700,BLK,1.053098962197937,1.1714477194300237,1.187113847694322,1.0206479989635429,0.032450963234394115,0.08118733070757767,0.09782064870311902
2017-10-02,447.7300109863281,450.489990234375,447.010009765625,449.9500122070313,407.08734130859375,416300,BLK,1.0429824704758923,1.1739186463477698,1.196858218464676,1.012478214064533,0.030504256411359343,0.08521109058637011,0.10772733998774231
2017-10-03,449.4200134277344,450.8999938964844,446.8699951171875,450.7900085449219,407.8472595214844,540500,BLK,1.053528423665398,1.180470654029354,1.1761601527767291,1.0113391723313174,0.04218925133408047,0.09050727902445188,0.09435951055615699
2017-10-04,450.8500061035156,457.9400024414063,448.989990234375,457.9100036621094,414.2889709472656,839700,BLK,1.046297422378282,1.171882625223925,1.158048579119572,1.0126829906128405,0.03361443176544143,0.08339893820235855,0.068089212522908
2017-10-05,458.55999755859375,465.6099853515625,456.9599914550781,464.4299926757813,420.18792724609375,642200,BLK,1.0240723936680234,1.1503020106882862,1.1461204303842958,1.0121464877707815,0.01192590589724185,0.06750153500517353,0.04819868161303664
2017-10-06,464.4299926757813,465.8699951171875,459.3900146484375,463.2200012207031,419.09320068359375,458400,BLK,1.0219117726944582,1.1670840115734205,1.1412180694373184,1.0081446760609294,0.01376709663352882,0.0721407887463843,0.040645003001554825
2017-10-09,464.9100036621094,465.80999755859375,461.6600036621094,462.4500122070313,418.3965148925781,339300,BLK,1.0210833436603324,1.2072979194701217,1.1471386213452546,1.0143616235707735,0.006721720089558847,0.10358249451746904,0.048656475168557645
2017-10-10,463.25,465.489990234375,461.6300048828125,465.489990234375,421.1468811035156,687300,BLK,1.0023847582426877,1.2155415658434214,1.1382578627276343,1.008797349947511,-0.006412591704823223,0.12269088969947584,0.04896055003367872
2017-10-11,474.0,474.3699951171875,460.1600036621094,473.9299926757813,428.7829284667969,1031800,BLK,0.9829087641105824,1.222543566324533,1.108244422793752,1.0091988628593096,-0.02629009874872723,0.12131135858182662,0.020147372600758384
2017-10-12,476.0,485.2300109863281,473.989990234375,480.5899963378906,434.8084716796875,1241700,BLK,0.9677895625178448,1.211269048900448,1.0799573744838151,1.0112728774332036,-0.04348331491535884,0.11258412307709542,0.003922273518685682
