Unnamed: 0,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,1524817000.0,1801172000.0,2013707000.0
Capital Surplus,2188706000.0,2188706000.0,2188706000.0
Total Liab,5476328000.0,5262788000.0,5213013000.0
Total Stockholder Equity,1921705000.0,2057746000.0,2164081000.0
Minority Interest,11298000.0,5961000.0,5900000.0
Other Current Liab,1652259000.0,1336479000.0,1367565000.0
Total Assets,7409331000.0,7326495000.0,7382994000.0
Common Stock,1252000.0,1252000.0,1252000.0
Other Current Assets,1640417000.0,1451155000.0,1332485000.0
Retained Earnings,-265834000.0,-131610000.0,-21412000.0
Other Liab,127230000.0,170403000.0,216488000.0
Good Will,3481816000.0,3437354000.0,3451685000.0
Treasury Stock,-2419000.0,-602000.0,-4465000.0
Other Assets,143284000.0,133782000.0,149128000.0
Cash,387616000.0,234617000.0,122969000.0
Total Current Liabilities,1824912000.0,1607939000.0,1542787000.0
Deferred Long Term Asset Charges,17669000.0,1355000.0,492000.0
Short Long Term Debt,18051000.0,24788000.0,23610000.0
Other Stockholder Equity,-2419000.0,-602000.0,-4465000.0
Property Plant Equipment,58878000.0,63557000.0,64443000.0
Total Current Assets,2200536000.0,1890630000.0,1704031000.0
Net Tangible Assets,-3084928000.0,-3180780000.0,-3301311000.0
Net Receivables,123681000.0,142084000.0,180951000.0
Long Term Debt,3489646000.0,3454808000.0,3453738000.0
Accounts Payable,27160000.0,237669000.0,32857000.0
Change To Liabilities,-27767000.0,-250000.0,-43442000.0
Total Cashflows From Investing Activities,-51222000.0,-160557000.0,-5051414000.0
Net Borrowings,-65873000.0,85376000.0,1117762000.0
Total Cash From Financing Activities,-75469000.0,72677000.0,3267283000.0
Change To Operating Activities,190848000.0,38800000.0,-129259000.0
Net Income,-126715000.0,-110198000.0,-39711000.0
Change In Cash,381491000.0,185411000.0,-1825280000.0
Effect Of Exchange Rate,99073000.0,-15756000.0,-13859000.0
Total Cash From Operating Activities,409109000.0,289047000.0,-27290000.0
Depreciation,268166000.0,257708000.0,234256000.0
Change To Account Receivables,-46493000.0,-30955000.0,-47722000.0
Other Cashflows From Financing Activities,-9596000.0,-12699000.0,-40437000.0
Change To Netincome,149920000.0,147546000.0,-17274000.0
Capital Expenditures,-5386000.0,-9657000.0,-13434000.0
Issuance Of Stock,,,2189958000.0
Other Cashflows From Investing Activities,,,-733603000.0
