,Unnamed: 0,2020-12-31,2020-09-30,2020-06-30,2020-03-31
0,Intangible Assets,555930000.0,549252000.0,542095000.0,
1,Capital Surplus,4745014000.0,3517200000.0,3395129000.0,2210029.0
2,Total Liab,742540000.0,571916000.0,324849000.0,400253324.0
3,Total Stockholder Equity,2696789000.0,1994743000.0,2191288000.0,5000001.0
4,Other Current Liab,317942000.0,286506000.0,147031000.0,
5,Total Assets,3439329000.0,2566659000.0,2516137000.0,405253325.0
6,Common Stock,79000.0,74000.0,74000.0,1152.0
7,Other Current Assets,317967000.0,286531000.0,147055000.0,
8,Retained Earnings,-1843054000.0,-1576654000.0,-1228901000.0,2788820.0
9,Other Liab,119353000.0,59088000.0,54872000.0,398757950.0
10,Good Will,569603000.0,486327000.0,480578000.0,
11,Treasury Stock,-205250000.0,54123000.0,24986000.0,
12,Other Assets,7632000.0,3601000.0,3105000.0,405002234.0
13,Cash,1817258000.0,1140907000.0,1244266000.0,157758.0
14,Total Current Liabilities,554412000.0,512828000.0,269977000.0,1495374.0
15,Other Stockholder Equity,83534000.0,54123000.0,24986000.0,
16,Property Plant Equipment,108904000.0,39482000.0,37002000.0,
17,Total Current Assets,2194305000.0,1485856000.0,1451121000.0,251091.0
18,Long Term Investments,2955000.0,2141000.0,2236000.0,
19,Net Tangible Assets,1571256000.0,959164000.0,1168615000.0,5000001.0
20,Net Receivables,44522000.0,46084000.0,35104000.0,
21,Accounts Payable,28076000.0,24401000.0,32312000.0,1495374.0
0,Investments,-1000000.0,-1000000.0,-1000000.0,-1000000.0
1,Change To Liabilities,-8686000.0,100574000.0,11683760.0,2240.0
2,Total Cashflows From Investing Activities,-15708000.0,-12981000.0,-199055475.0,403475.0
3,Total Cash From Financing Activities,790359000.0,14840000.0,1501100000.0,1501100000.0
4,Change To Operating Activities,3868000.0,20675000.0,-1162906.0,225906.0
5,Issuance Of Stock,1079144000.0,14840000.0,1485529000.0,1485529000.0
6,Net Income,-266400000.0,-347753000.0,-161437000.0,-68680000.0
7,Change In Cash,676351000.0,-103359000.0,1168066467.0,-333467.0
8,Repurchase Of Stock,-288785000.0,-288785000.0,-288785000.0,-288785000.0
9,Effect Of Exchange Rate,-1716000.0,1102000.0,256000.0,256000.0
10,Total Cash From Operating Activities,-96584000.0,-106320000.0,-134234058.0,-736942.0
11,Depreciation,50669000.0,12853000.0,13888000.0,13888000.0
12,Change To Account Receivables,475000.0,-23119000.0,-1579000.0,-1579000.0
13,Change To Netincome,147127000.0,116708000.0,64048499.0,-1444499.0
14,Capital Expenditures,-3519000.0,-4897000.0,-3336000.0,-3336000.0
15,Net Borrowings,,,34327000.0,34327000.0
16,Other Cashflows From Investing Activities,,,-403475.0,403475.0
17,Other Cashflows From Financing Activities,,,-18756000.0,-18756000.0
