Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day
2018-04-03,165.89999389648438,169.0,148.25999450683594,149.00999450683594,149.00999450683594,30526500,SPOT,1.0763036762306233,1.179115518591485,1.08402123840013,1.0073860021346626,0.06891767409596072,0.09043466721523252,-0.019594010174592835
2018-04-04,140.0,148.92999267578125,135.50999450683594,144.22000122070312,144.22000122070312,11702900,SPOT,1.0696158175090318,1.2303425387569218,1.0364720181827376,1.0086288213636454,0.060986996145386385,0.1460219892463397,-0.02082861134560665
2018-04-05,149.22999572753906,152.41000366210938,141.25,143.99000549316406,143.99000549316406,7372800,SPOT,1.0417389699115005,1.2530730314080527,1.0575039826614214,1.0070075641703935,0.034731405741107,0.1755719617096787,0.02734994007002589
2018-04-06,146.07000732421875,148.72999572753906,144.6699981689453,147.9199981689453,147.9199981689453,4228100,SPOT,1.018388326489813,1.2327610083881044,1.071457595017993,1.0294048035181318,-0.01101647702831876,0.1401895974977978,0.008530866341668775
2018-04-09,149.5,151.0,148.58999633789062,150.0,150.0,2051400,SPOT,1.0004667154947915,1.2556667073567709,1.0616666666666668,1.0371214117684873,-0.036654696273695775,0.15649094692156695,-0.00026539009197534824
2018-04-10,152.0,156.74000549316406,151.13299560546875,154.89999389648438,154.89999389648438,2980000,SPOT,1.0208522344325377,1.2085862756003385,1.0635894544327622,1.029383087600204,-0.00853085316766622,0.12636022041870842,-0.006331436938872503
2018-04-11,154.0,154.14999389648438,147.5,149.57000732421875,149.57000732421875,1874000,SPOT,1.0481379728265638,1.231664051612798,1.0649193754067956,1.0343834471238158,0.013754525702748044,0.14969181721092473,-0.005306072995407529
2018-04-12,150.25,151.0,148.64999389648438,149.10000610351562,149.10000610351562,1371900,SPOT,1.0729040554809957,1.254527132090757,1.0227364134867631,1.0271557935683588,0.04574826191263681,0.173627198235055,-0.025725903524044025
2018-04-13,149.8000030517578,150.4199981689453,148.0500030517578,149.0,149.0,1608100,SPOT,1.0651678302944108,1.2493288180972109,0.9995301521864514,1.0272560919411187,0.03791173835329209,0.1609791995693617,-0.04533391572973622
2018-04-16,150.0,150.0,142.74000549316406,144.32000732421875,144.32000732421875,1454700,SPOT,1.118278763852066,1.2624029461979691,1.029240477742173,1.0235757079403338,0.09470305591173211,0.18332251933906263,-0.001514080481692881
