Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day
2017-09-29,359.7699890136719,365.010009765625,357.67999267578125,363.4200134277344,363.4200134277344,1317400,CHTR,0.9195146141674548,0.9624951725848668,0.8346540514136611,1.0206479989635429,-0.10113338479608802,-0.12776521613757919,-0.2546391475775418
2017-10-02,364.5199890136719,366.5199890136719,362.8699951171875,364.1099853515625,364.1099853515625,1295200,CHTR,0.9288951548366312,0.96366487874268,0.8413391795396858,1.012478214064533,-0.08358305922790177,-0.12504267701871963,-0.24779169893724795
2017-10-03,363.9400024414063,370.25,363.2300109863281,369.510009765625,369.510009765625,1272000,CHTR,0.9138047542373272,0.9649264657786224,0.8278801536557664,1.0113391723313174,-0.09753441809399022,-0.12503690922627964,-0.25392048856480576
2017-10-04,368.6099853515625,371.760009765625,367.6000061035156,371.0899963378906,371.0899963378906,920200,CHTR,0.9039047023255252,0.9559945384315977,0.8430299911750752,1.0126829906128405,-0.10877828828731528,-0.13248914858996874,-0.24692937542158888
2017-10-05,371.5400085449219,374.989990234375,369.510009765625,369.7200012207031,369.7200012207031,1801600,CHTR,0.9423347201833102,0.9489072417341003,0.83977066418159,1.0121464877707815,-0.06981176758747132,-0.1338932339490123,-0.2581510845896692
2017-10-06,370.4200134277344,370.8500061035156,366.6000061035156,367.3999938964844,367.3999938964844,1239000,CHTR,0.9336146310940568,0.9669841995527356,0.8640718473841975,1.0081446760609294,-0.07453004496687254,-0.12795902327430053,-0.23650121905156607
2017-10-09,368.1000061035156,368.6900024414063,364.6400146484375,366.0499877929688,366.0499877929688,1241500,CHTR,0.923097951549706,0.9670810321136136,0.8620407002210804,1.0143616235707735,-0.09126367202106755,-0.136634392839039,-0.23644144595561656
2017-10-10,365.989990234375,368.1600036621094,362.8599853515625,364.9200134277344,364.9200134277344,1111000,CHTR,0.93499945098133,0.9671434278451064,0.8520771429352755,1.008797349947511,-0.07379789896618094,-0.12570724829883917,-0.2372201697586801
2017-10-11,364.05999755859375,366.9700012207031,361.0299987792969,365.1199951171875,365.1199951171875,1432600,CHTR,0.926928152299032,0.9800613527699016,0.8489537833205119,1.0091988628593096,-0.08227071056027757,-0.12117085497280478,-0.23914326687248177
2017-10-12,363.0,363.0,352.510009765625,355.7099914550781,355.7099914550781,2582300,CHTR,0.9662927932236922,1.026819624902571,0.846982109068322,1.0112728774332036,-0.044980084209511384,-0.0718653009207817,-0.2290529918968074
