Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-09-18,75.0,76.79000091552734,67.0,68.3499984741211,68.3499984741211,20621000,U,1.2750549154565956,2.520702225785211,1.4177030532424593,62034000.0,226173000.0,368949000.0,-292648000.0,,259359000.0,762860000.0,1000.0,9418000.0,-515190000.0,32421000.0,218305000.0,-3632000.0,36128000.0,129959000.0,336528000.0,-3632000.0,78976000.0,367417000.0,-572987000.0,,204898000.0,10706000.0,-481809000.0,27058000.0,-219541000.0,161472000.0,28724000.0,472013000.0,-163190000.0,-126177000.0,-286375000.0,-172000.0,-67936000.0,31113000.0,-49420000.0,-370000.0,44613000.0,-27035000.0
2020-09-21,67.11000061035156,73.9800033569336,65.11000061035156,72.95999908447266,72.95999908447266,5055200,U,1.2472587875808596,2.3019462589876225,1.3748629223864908,62034000.0,226173000.0,368949000.0,-292648000.0,,259359000.0,762860000.0,1000.0,9418000.0,-515190000.0,32421000.0,218305000.0,-3632000.0,36128000.0,129959000.0,336528000.0,-3632000.0,78976000.0,367417000.0,-572987000.0,,204898000.0,10706000.0,-481809000.0,27058000.0,-219541000.0,161472000.0,28724000.0,472013000.0,-163190000.0,-126177000.0,-286375000.0,-172000.0,-67936000.0,31113000.0,-49420000.0,-370000.0,44613000.0,-27035000.0
2020-09-22,76.63999938964844,84.9800033569336,75.11000061035156,84.81999969482422,84.81999969482422,6893700,U,1.190285303557167,1.9443527324017291,1.1917000966132123,62034000.0,226173000.0,368949000.0,-292648000.0,,259359000.0,762860000.0,1000.0,9418000.0,-515190000.0,32421000.0,218305000.0,-3632000.0,36128000.0,129959000.0,336528000.0,-3632000.0,78976000.0,367417000.0,-572987000.0,,204898000.0,10706000.0,-481809000.0,27058000.0,-219541000.0,161472000.0,28724000.0,472013000.0,-163190000.0,-126177000.0,-286375000.0,-172000.0,-67936000.0,31113000.0,-49420000.0,-370000.0,44613000.0,-27035000.0
2020-09-23,88.66999816894531,88.87999725341797,79.9000015258789,81.8499984741211,81.8499984741211,4343900,U,1.1885155845183597,1.91130122611876,1.229077585211297,62034000.0,226173000.0,368949000.0,-292648000.0,,259359000.0,762860000.0,1000.0,9418000.0,-515190000.0,32421000.0,218305000.0,-3632000.0,36128000.0,129959000.0,336528000.0,-3632000.0,78976000.0,367417000.0,-572987000.0,,204898000.0,10706000.0,-481809000.0,27058000.0,-219541000.0,161472000.0,28724000.0,472013000.0,-163190000.0,-126177000.0,-286375000.0,-172000.0,-67936000.0,31113000.0,-49420000.0,-370000.0,44613000.0,-27035000.0
2020-09-24,77.75,83.88999938964844,75.69999694824219,83.19999694824219,83.19999694824219,2487200,U,1.2014423407570156,1.817067286310463,1.2287260469556238,62034000.0,226173000.0,368949000.0,-292648000.0,,259359000.0,762860000.0,1000.0,9418000.0,-515190000.0,32421000.0,218305000.0,-3632000.0,36128000.0,129959000.0,336528000.0,-3632000.0,78976000.0,367417000.0,-572987000.0,,204898000.0,10706000.0,-481809000.0,27058000.0,-219541000.0,161472000.0,28724000.0,472013000.0,-163190000.0,-126177000.0,-286375000.0,-172000.0,-67936000.0,31113000.0,-49420000.0,-370000.0,44613000.0,-27035000.0
2020-09-25,84.79000091552734,93.36000061035156,84.25,89.8499984741211,89.8499984741211,3681700,U,1.157484716373751,1.7230941564101478,1.0894824824937872,62034000.0,226173000.0,368949000.0,-292648000.0,,259359000.0,762860000.0,1000.0,9418000.0,-515190000.0,32421000.0,218305000.0,-3632000.0,36128000.0,129959000.0,336528000.0,-3632000.0,78976000.0,367417000.0,-572987000.0,,204898000.0,10706000.0,-481809000.0,27058000.0,-219541000.0,161472000.0,28724000.0,472013000.0,-163190000.0,-126177000.0,-286375000.0,-172000.0,-67936000.0,31113000.0,-49420000.0,-370000.0,44613000.0,-27035000.0
2020-09-28,94.45999908447266,100.0,94.0999984741211,95.8000030517578,95.8000030517578,3999900,U,1.0413361060367945,1.601983260248833,1.0327766105388534,62034000.0,226173000.0,368949000.0,-292648000.0,,259359000.0,762860000.0,1000.0,9418000.0,-515190000.0,32421000.0,218305000.0,-3632000.0,36128000.0,129959000.0,336528000.0,-3632000.0,78976000.0,367417000.0,-572987000.0,,204898000.0,10706000.0,-481809000.0,27058000.0,-219541000.0,161472000.0,28724000.0,472013000.0,-163190000.0,-126177000.0,-286375000.0,-172000.0,-67936000.0,31113000.0,-49420000.0,-370000.0,44613000.0,-27035000.0
2020-09-29,98.16000366210938,102.62999725341795,93.5,94.91999816894533,94.91999816894533,2814000,U,1.1466497939050684,1.517909867366526,1.0246523810832808,62034000.0,226173000.0,368949000.0,-292648000.0,,259359000.0,762860000.0,1000.0,9418000.0,-515190000.0,32421000.0,218305000.0,-3632000.0,36128000.0,129959000.0,336528000.0,-3632000.0,78976000.0,367417000.0,-572987000.0,,204898000.0,10706000.0,-481809000.0,27058000.0,-219541000.0,161472000.0,28724000.0,472013000.0,-163190000.0,-126177000.0,-286375000.0,-172000.0,-67936000.0,31113000.0,-49420000.0,-370000.0,44613000.0,-27035000.0
2020-09-30,94.9000015258789,96.36000061035156,85.02999877929688,87.27999877929688,87.27999877929688,3670700,U,1.0870760607288623,1.7039413760392952,1.1228231137790294,62034000.0,226173000.0,368949000.0,-292648000.0,,259359000.0,762860000.0,1000.0,9418000.0,-515190000.0,32421000.0,218305000.0,-3632000.0,36128000.0,129959000.0,336528000.0,-3632000.0,78976000.0,367417000.0,-572987000.0,,204898000.0,10706000.0,-481809000.0,27058000.0,-219541000.0,161472000.0,28724000.0,472013000.0,-163190000.0,-126177000.0,-286375000.0,-172000.0,-67936000.0,31113000.0,-49420000.0,-370000.0,44613000.0,-27035000.0
2020-10-01,89.33000183105469,90.97000122070312,83.5,84.55999755859375,84.55999755859375,4530800,U,1.1131740772366143,1.6318591470813053,1.2011589714680846,62034000.0,226173000.0,368949000.0,-292648000.0,,259359000.0,762860000.0,1000.0,9418000.0,-515190000.0,32421000.0,218305000.0,-3632000.0,36128000.0,129959000.0,336528000.0,-3632000.0,78976000.0,367417000.0,-572987000.0,,204898000.0,10706000.0,-481809000.0,27058000.0,-219541000.0,161472000.0,28724000.0,472013000.0,-163190000.0,-126177000.0,-286375000.0,-172000.0,-67936000.0,31113000.0,-49420000.0,-370000.0,44613000.0,-27035000.0
