Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Total Assets,Common Stock,Other Current Assets,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Intangible Assets,Deferred Long Term Liab,Other Current Liab,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-12-15,36.0,39.790000915527344,35.9900016784668,37.95000076293945,36.85444641113281,2393600,AIRC,1.0126481549029456,1.175128338466596,1.3044139986328782,1.0593177594136232,-0.0466696045106775,0.0640371894995703,0.0933446050006703,4000925000.0,4821512000.0,2121391000.0,99226000.0,7042129000.0,1489000.0,90153000.0,,,-1881023000.0,274398000.0,228368000.0,763217000.0,-1881023000.0,6039984000.0,318521000.0,409226000.0,2121391000.0,,4058295000.0,,,58177000.0,100852000.0,0.0,-195899000.0,-428007000.0,-59637000.0,5626000.0,342163000.0,-25007000.0,-174017000.0,81519000.0,98249000.0,-10403000.0,-60945000.0,429315000.0,2651000.0,-94717000.0
2020-12-16,38.16999816894531,40.31999969482422,37.5099983215332,39.84999847412109,38.699588775634766,6522700,AIRC,0.9909662671706326,1.105913090021405,1.239660163048005,1.0685424132795076,-0.0775761461088749,0.0054452720378144,0.0319771652863019,4000925000.0,4821512000.0,2121391000.0,99226000.0,7042129000.0,1489000.0,90153000.0,,,-1881023000.0,274398000.0,228368000.0,763217000.0,-1881023000.0,6039984000.0,318521000.0,409226000.0,2121391000.0,,4058295000.0,,,58177000.0,100852000.0,0.0,-195899000.0,-428007000.0,-59637000.0,5626000.0,342163000.0,-25007000.0,-174017000.0,81519000.0,98249000.0,-10403000.0,-60945000.0,429315000.0,2651000.0,-94717000.0
2020-12-17,39.20000076293945,40.999000549316406,38.959999084472656,39.15999984741211,38.02951431274414,1957900,AIRC,1.0058731841212276,1.1457857890229806,1.247428156035248,1.0520021356846316,-0.046128951563404,0.0373386906132648,0.0540625448406928,4000925000.0,4821512000.0,2121391000.0,99226000.0,7042129000.0,1489000.0,90153000.0,,,-1881023000.0,274398000.0,228368000.0,763217000.0,-1881023000.0,6039984000.0,318521000.0,409226000.0,2121391000.0,,4058295000.0,,,58177000.0,100852000.0,0.0,-195899000.0,-428007000.0,-59637000.0,5626000.0,342163000.0,-25007000.0,-174017000.0,81519000.0,98249000.0,-10403000.0,-60945000.0,429315000.0,2651000.0,-94717000.0
2020-12-18,39.290000915527344,39.290000915527344,37.0,37.25,36.174652099609375,27123600,AIRC,1.0523490114065557,1.2262395064498792,1.2996079919282657,1.0541479277304715,-0.001798916323916,0.0975744348442804,0.103075959223156,4000925000.0,4821512000.0,2121391000.0,99226000.0,7042129000.0,1489000.0,90153000.0,,,-1881023000.0,274398000.0,228368000.0,763217000.0,-1881023000.0,6039984000.0,318521000.0,409226000.0,2121391000.0,,4058295000.0,,,58177000.0,100852000.0,0.0,-195899000.0,-428007000.0,-59637000.0,5626000.0,342163000.0,-25007000.0,-174017000.0,81519000.0,98249000.0,-10403000.0,-60945000.0,429315000.0,2651000.0,-94717000.0
2020-12-21,37.0,38.84999847412109,36.7400016784668,38.790000915527344,37.67019271850586,2033400,AIRC,1.0108275278569196,1.159059707757406,1.2614318054200424,1.057296658195766,-0.0464691303388462,0.0386701119650401,0.0532983265418645,4000925000.0,4821512000.0,2121391000.0,99226000.0,7042129000.0,1489000.0,90153000.0,,,-1881023000.0,274398000.0,228368000.0,763217000.0,-1881023000.0,6039984000.0,318521000.0,409226000.0,2121391000.0,,4058295000.0,,,58177000.0,100852000.0,0.0,-195899000.0,-428007000.0,-59637000.0,5626000.0,342163000.0,-25007000.0,-174017000.0,81519000.0,98249000.0,-10403000.0,-60945000.0,429315000.0,2651000.0,-94717000.0
2020-12-22,39.0,39.13999938964844,37.90999984741211,38.470001220703125,37.35943222045898,991800,AIRC,1.0137769232018092,1.1553037299749602,1.2902313981925455,1.051384072668894,-0.0376071494670848,0.0299088429115068,0.0846926307425746,4000925000.0,4821512000.0,2121391000.0,99226000.0,7042129000.0,1489000.0,90153000.0,,,-1881023000.0,274398000.0,228368000.0,763217000.0,-1881023000.0,6039984000.0,318521000.0,409226000.0,2121391000.0,,4058295000.0,,,58177000.0,100852000.0,0.0,-195899000.0,-428007000.0,-59637000.0,5626000.0,342163000.0,-25007000.0,-174017000.0,81519000.0,98249000.0,-10403000.0,-60945000.0,429315000.0,2651000.0,-94717000.0
2020-12-23,38.97999954223633,38.97999954223633,38.11000061035156,38.20000076293945,37.09722518920898,1604900,AIRC,0.9871728151126784,1.1311950921431413,1.325802804474944,1.0287074732832335,-0.0415346581705551,0.0136000135129186,0.139473122945537,4000925000.0,4821512000.0,2121391000.0,99226000.0,7042129000.0,1489000.0,90153000.0,,,-1881023000.0,274398000.0,228368000.0,763217000.0,-1881023000.0,6039984000.0,318521000.0,409226000.0,2121391000.0,,4058295000.0,,,58177000.0,100852000.0,0.0,-195899000.0,-428007000.0,-59637000.0,5626000.0,342163000.0,-25007000.0,-174017000.0,81519000.0,98249000.0,-10403000.0,-60945000.0,429315000.0,2651000.0,-94717000.0
2020-12-24,38.63999938964844,38.79999923706055,37.220001220703125,37.93999862670898,36.84473037719727,456700,AIRC,1.0123880987200558,1.145339735210757,1.3327362849266844,1.0314131762138377,-0.0190250774937819,0.0120245125956799,0.1474002907206399,4000925000.0,4821512000.0,2121391000.0,99226000.0,7042129000.0,1489000.0,90153000.0,,,-1881023000.0,274398000.0,228368000.0,763217000.0,-1881023000.0,6039984000.0,318521000.0,409226000.0,2121391000.0,,4058295000.0,,,58177000.0,100852000.0,0.0,-195899000.0,-428007000.0,-59637000.0,5626000.0,342163000.0,-25007000.0,-174017000.0,81519000.0,98249000.0,-10403000.0,-60945000.0,429315000.0,2651000.0,-94717000.0
2020-12-28,37.91999816894531,38.59999847412109,37.83000183105469,38.36000061035156,37.25260543823242,1326100,AIRC,1.0106882901695111,1.1206812071049377,1.3120246106029698,1.0230201952264786,-0.0123319050569674,-0.0218787144858609,0.1371005379501662,4000925000.0,4821512000.0,2121391000.0,99226000.0,7042129000.0,1489000.0,90153000.0,,,-1881023000.0,274398000.0,228368000.0,763217000.0,-1881023000.0,6039984000.0,318521000.0,409226000.0,2121391000.0,,4058295000.0,,,58177000.0,100852000.0,0.0,-195899000.0,-428007000.0,-59637000.0,5626000.0,342163000.0,-25007000.0,-174017000.0,81519000.0,98249000.0,-10403000.0,-60945000.0,429315000.0,2651000.0,-94717000.0
2020-12-29,38.400001525878906,38.790000915527344,37.90999984741211,38.0,36.90299987792969,1013900,AIRC,1.056842121584883,1.1270430746648197,1.341644424689112,1.0446043805401628,0.0122377410447203,-0.0278957729982276,0.135786595717271,4000925000.0,4821512000.0,2121391000.0,99226000.0,7042129000.0,1489000.0,90153000.0,,,-1881023000.0,274398000.0,228368000.0,763217000.0,-1881023000.0,6039984000.0,318521000.0,409226000.0,2121391000.0,,4058295000.0,,,58177000.0,100852000.0,0.0,-195899000.0,-428007000.0,-59637000.0,5626000.0,342163000.0,-25007000.0,-174017000.0,81519000.0,98249000.0,-10403000.0,-60945000.0,429315000.0,2651000.0,-94717000.0
