Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-02-11,32.0,33.5,30.549999237060547,31.559999465942383,31.559999465942383,12435200,SGFY,0.963878345724351,0.8396704831569207,0.7975285330234516,1.0387619607072216,-0.0748836149828705,-0.2287511508458822,-0.2931152251482161,528500000.0,434800000.0,-63300000.0,64400000.0,1392400000.0,4200000.0,22500000.0,-67500000.0,47600000.0,578800000.0,2300000.0,27700000.0,122600000.0,2800000.0,19300000.0,263500000.0,-1170600000.0,206400000.0,264600000.0,3500000.0,-1000000.0,-54400000.0,82900000.0,17200000.0,-94800000.0,9000000.0,3700000.0,-28500000.0,29800000.0,-8200000.0,41700000.0,66000000.0,-22500000.0,36800000.0,-85000000.0,11300000.0,-12600000.0
2021-02-12,32.2400016784668,36.400001525878906,30.0,36.400001525878906,36.400001525878906,3460200,SGFY,0.8181318526998729,0.7093406212213277,0.714560415894208,1.037978242018038,-0.219846389318165,-0.3456093617326053,-0.3795672426209928,506900000.0,628300000.0,-71100000.0,110600000.0,1522300000.0,10900000.0,4400000.0,-82000000.0,41600000.0,596700000.0,4100000.0,72600000.0,189600000.0,4200000.0,25400000.0,389200000.0,-1174700000.0,298400000.0,397100000.0,700000.0,-1000000.0,43600000.0,-49800000.0,137600000.0,33100000.0,9000000.0,2900000.0,-14500000.0,26800000.0,-56900000.0,43500000.0,62300000.0,-8200000.0,-92000000.0,-42300000.0,33300000.0,-13900000.0
2021-02-16,36.79999923706055,39.84999847412109,34.58599853515625,36.15999984741211,36.15999984741211,4327000,SGFY,0.7613385177770062,0.7331305403968109,0.7168141644267452,1.023482203476065,-0.2621436856990586,-0.3310249639801019,-0.3882262122946704,506900000.0,628300000.0,-71100000.0,110600000.0,1522300000.0,10900000.0,4400000.0,-82000000.0,41600000.0,596700000.0,4100000.0,72600000.0,189600000.0,4200000.0,25400000.0,389200000.0,-1174700000.0,298400000.0,397100000.0,700000.0,-1000000.0,43600000.0,-49800000.0,137600000.0,33100000.0,9000000.0,2900000.0,-14500000.0,26800000.0,-56900000.0,43500000.0,62300000.0,-8200000.0,-92000000.0,-42300000.0,33300000.0,-13900000.0
2021-02-17,39.119998931884766,39.5,34.810001373291016,38.09999847412109,38.09999847412109,2745700,SGFY,0.6944881927605655,0.6897638251743198,0.6876640895598841,1.0274034553097129,-0.3329152625491471,-0.3797922937525263,-0.4272851985705609,506900000.0,628300000.0,-71100000.0,110600000.0,1522300000.0,10900000.0,4400000.0,-82000000.0,41600000.0,596700000.0,4100000.0,72600000.0,189600000.0,4200000.0,25400000.0,389200000.0,-1174700000.0,298400000.0,397100000.0,700000.0,-1000000.0,43600000.0,-49800000.0,137600000.0,33100000.0,9000000.0,2900000.0,-14500000.0,26800000.0,-56900000.0,43500000.0,62300000.0,-8200000.0,-92000000.0,-42300000.0,33300000.0,-13900000.0
2021-02-18,37.5,39.25,36.43999862670898,37.0099983215332,37.0099983215332,635100,SGFY,0.6822480720110979,0.6681978023178642,0.7003512902407547,1.0353108010217529,-0.3530627290106549,-0.4167782319205194,-0.4153251901063355,506900000.0,628300000.0,-71100000.0,110600000.0,1522300000.0,10900000.0,4400000.0,-82000000.0,41600000.0,596700000.0,4100000.0,72600000.0,189600000.0,4200000.0,25400000.0,389200000.0,-1174700000.0,298400000.0,397100000.0,700000.0,-1000000.0,43600000.0,-49800000.0,137600000.0,33100000.0,9000000.0,2900000.0,-14500000.0,26800000.0,-56900000.0,43500000.0,62300000.0,-8200000.0,-92000000.0,-42300000.0,33300000.0,-13900000.0
2021-02-19,37.9900016784668,40.790000915527344,37.54999923706055,39.43999862670898,39.43999862670898,893600,SGFY,0.6442697954407209,0.6140973670560064,0.6701318769133334,1.0023245570248156,-0.3580547615840946,-0.4529989181488352,-0.4477680501205542,506900000.0,628300000.0,-71100000.0,110600000.0,1522300000.0,10900000.0,4400000.0,-82000000.0,41600000.0,596700000.0,4100000.0,72600000.0,189600000.0,4200000.0,25400000.0,389200000.0,-1174700000.0,298400000.0,397100000.0,700000.0,-1000000.0,43600000.0,-49800000.0,137600000.0,33100000.0,9000000.0,2900000.0,-14500000.0,26800000.0,-56900000.0,43500000.0,62300000.0,-8200000.0,-92000000.0,-42300000.0,33300000.0,-13900000.0
2021-02-22,38.5,40.56999969482422,37.88999938964844,38.34000015258789,38.34000015258789,605900,SGFY,0.6335420140546819,0.6570161824153601,0.697443914050513,0.9953240943772406,-0.3617820803225586,-0.4204645875700622,-0.4226097628207109,506900000.0,628300000.0,-71100000.0,110600000.0,1522300000.0,10900000.0,4400000.0,-82000000.0,41600000.0,596700000.0,4100000.0,72600000.0,189600000.0,4200000.0,25400000.0,389200000.0,-1174700000.0,298400000.0,397100000.0,700000.0,-1000000.0,43600000.0,-49800000.0,137600000.0,33100000.0,9000000.0,2900000.0,-14500000.0,26800000.0,-56900000.0,43500000.0,62300000.0,-8200000.0,-92000000.0,-42300000.0,33300000.0,-13900000.0
2021-02-23,36.54999923706055,36.8849983215332,33.0,35.38999938964844,35.38999938964844,1912900,SGFY,0.7776208231812872,0.6945464918797284,0.734388251465193,1.008586492222307,-0.2309656690410194,-0.3884416865580766,-0.383826321664075,506900000.0,628300000.0,-71100000.0,110600000.0,1522300000.0,10900000.0,4400000.0,-82000000.0,41600000.0,596700000.0,4100000.0,72600000.0,189600000.0,4200000.0,25400000.0,389200000.0,-1174700000.0,298400000.0,397100000.0,700000.0,-1000000.0,43600000.0,-49800000.0,137600000.0,33100000.0,9000000.0,2900000.0,-14500000.0,26800000.0,-56900000.0,43500000.0,62300000.0,-8200000.0,-92000000.0,-42300000.0,33300000.0,-13900000.0
2021-02-24,36.0,38.2400016784668,35.52000045776367,36.25,36.25,1224000,SGFY,0.7445517178239494,0.697931013436153,0.7404137973127694,1.0099883968047432,-0.2654366789807938,-0.3677027083669036,-0.3631027187793991,506900000.0,628300000.0,-71100000.0,110600000.0,1522300000.0,10900000.0,4400000.0,-82000000.0,41600000.0,596700000.0,4100000.0,72600000.0,189600000.0,4200000.0,25400000.0,389200000.0,-1174700000.0,298400000.0,397100000.0,700000.0,-1000000.0,43600000.0,-49800000.0,137600000.0,33100000.0,9000000.0,2900000.0,-14500000.0,26800000.0,-56900000.0,43500000.0,62300000.0,-8200000.0,-92000000.0,-42300000.0,33300000.0,-13900000.0
2021-02-25,36.25,37.11000061035156,30.49799919128418,31.420000076293945,31.420000076293945,1158100,SGFY,0.8500954493830528,0.7928071224355737,0.8494589582829103,1.0266826115313998,-0.176587162148347,-0.3072849215025592,-0.2919582362757443,506900000.0,628300000.0,-71100000.0,110600000.0,1522300000.0,10900000.0,4400000.0,-82000000.0,41600000.0,596700000.0,4100000.0,72600000.0,189600000.0,4200000.0,25400000.0,389200000.0,-1174700000.0,298400000.0,397100000.0,700000.0,-1000000.0,43600000.0,-49800000.0,137600000.0,33100000.0,9000000.0,2900000.0,-14500000.0,26800000.0,-56900000.0,43500000.0,62300000.0,-8200000.0,-92000000.0,-42300000.0,33300000.0,-13900000.0
