Unnamed: 0,2020-12-31,2019-12-31
Intangible Assets,60468000.0,71146000.0
Capital Surplus,266435000.0,259085000.0
Total Liab,731091000.0,634822000.0
Total Stockholder Equity,-284730000.0,-232028000.0
Other Current Liab,169050000.0,131514000.0
Total Assets,446361000.0,402794000.0
Common Stock,25000.0,25000.0
Other Current Assets,33208000.0,24329000.0
Retained Earnings,-551190000.0,-491138000.0
Other Liab,394083000.0,360332000.0
Good Will,41540000.0,41540000.0
Other Assets,34115000.0,25744000.0
Cash,106795000.0,123633000.0
Total Current Liabilities,266835000.0,199610000.0
Short Long Term Debt,3041000.0,3041000.0
Property Plant Equipment,16041000.0,18836000.0
Total Current Assets,294197000.0,245528000.0
Net Tangible Assets,-386738000.0,-344714000.0
Net Receivables,144555000.0,93254000.0
Long Term Debt,64665000.0,67143000.0
Accounts Payable,91367000.0,61689000.0
Change To Liabilities,24922000.0,18451000.0
Total Cashflows From Investing Activities,22066000.0,-5060000.0
Net Borrowings,-3041000.0,-3592000.0
Total Cash From Financing Activities,24621000.0,176298000.0
Change To Operating Activities,40931000.0,38006000.0
Issuance Of Stock,34404000.0,180193000.0
Net Income,-60052000.0,-282588000.0
Change In Cash,-6517000.0,67377000.0
Repurchase Of Stock,-6742000.0,-6742000.0
Total Cash From Operating Activities,-53204000.0,-103861000.0
Depreciation,13531000.0,12253000.0
Change To Account Receivables,-59381000.0,-23280000.0
Change To Netincome,-13155000.0,133297000.0
Capital Expenditures,-1775000.0,-2892000.0
Other Cashflows From Financing Activities,,-303000.0
