Unnamed: 0,2021-01-31,2020-01-31,2019-01-31
Intangible Assets,23446000.0,6989000.0,20000.0
Capital Surplus,6175425000.0,155340000.0,39296000.0
Total Liab,985268000.0,621003000.0,165902000.0
Total Stockholder Equity,4936471000.0,-544757000.0,-312467000.0
Deferred Long Term Liab,86164000.0,69516000.0,32658000.0
Other Current Liab,666172000.0,335354000.0,108109000.0
Total Assets,5921739000.0,1012720000.0,764288000.0
Common Stock,28000.0,6000.0,5000.0
Other Current Assets,32371000.0,26358000.0,11607000.0
Retained Earnings,-1239421000.0,-700319000.0,-351784000.0
Other Liab,11117000.0,11373000.0,8454000.0
Good Will,8449000.0,7049000.0,
Treasury Stock,439000.0,216000.0,16000.0
Other Assets,133986000.0,89038000.0,42560000.0
Cash,820177000.0,127206000.0,116541000.0
Total Current Liabilities,789264000.0,416455000.0,144905000.0
Other Stockholder Equity,439000.0,216000.0,16000.0
Property Plant Equipment,248431000.0,220918000.0,22756000.0
Total Current Assets,4300652000.0,665194000.0,698952000.0
Long Term Investments,1206775000.0,23532000.0,
Net Tangible Assets,4904576000.0,-558795000.0,-312487000.0
Short Term Investments,3087887000.0,306844000.0,492257000.0
Net Receivables,294017000.0,179459000.0,63359000.0
Accounts Payable,5647000.0,8488000.0,8258000.0
Investments,-3981906000.0,167657000.0,-358626000.0
Change To Liabilities,310003000.0,224077000.0,84801000.0
Total Cashflows From Investing Activities,-4036645000.0,138495000.0,-362642000.0
Net Borrowings,2090000.0,2090000.0,2090000.0
Total Cash From Financing Activities,4775290000.0,57469000.0,413601000.0
Change To Operating Activities,-86822000.0,-57867000.0,-27161000.0
Issuance Of Stock,4295821000.0,33739000.0,5018000.0
Net Income,-539102000.0,-348535000.0,-178028000.0
Change In Cash,693217000.0,19406000.0,-93023000.0
Effect Of Exchange Rate,-11000.0,-11000.0,-11000.0
Total Cash From Operating Activities,-45417000.0,-176558000.0,-143982000.0
Depreciation,9826000.0,3522000.0,1362000.0
Change To Account Receivables,-116289000.0,-116869000.0,-51421000.0
Other Cashflows From Financing Activities,-1194000.0,-391000.0,-391000.0
Change To Netincome,348126000.0,102128000.0,20791000.0
Capital Expenditures,-35037000.0,-18583000.0,-2058000.0
Repurchase Of Stock,,,-29644000.0
