Unnamed: 0,2020-10-03,2019-09-28,2018-09-29
Intangible Assets,121186000.0,117724000.0,111646000.0
Total Liab,1573437000.0,1367078000.0,1342109000.0
Total Stockholder Equity,-826999000.0,-887357000.0,-888949000.0
Other Current Liab,15143000.0,12959000.0,4099000.0
Total Assets,746438000.0,479721000.0,453160000.0
Common Stock,157000.0,157000.0,
Retained Earnings,-549093000.0,-607666000.0,-607128000.0
Other Liab,5457000.0,15063000.0,15423000.0
Treasury Stock,-278063000.0,-279848000.0,-281821000.0
Other Assets,9073000.0,1402000.0,1620000.0
Cash,157072000.0,90899000.0,77569000.0
Total Current Liabilities,258196000.0,165522000.0,137165000.0
Deferred Long Term Asset Charges,6583000.0,,
Short Long Term Debt,8341000.0,8341000.0,8341000.0
Other Stockholder Equity,-278063000.0,-279848000.0,-281821000.0
Property Plant Equipment,244046000.0,78506000.0,80262000.0
Total Current Assets,372133000.0,282089000.0,255332000.0
Net Tangible Assets,-948185000.0,-1005081000.0,-1000595000.0
Net Receivables,31481000.0,33872000.0,28703000.0
Long Term Debt,1179550000.0,1186493000.0,1189521000.0
Inventory,148966000.0,149729000.0,143222000.0
Accounts Payable,92372000.0,68347000.0,61596000.0
Long Term Investments,,,4300000.0
Change To Liabilities,39336000.0,23832000.0,2039000.0
Total Cashflows From Investing Activities,-26811000.0,-36996000.0,-40219000.0
Net Borrowings,-10425000.0,-6255000.0,-23662000.0
Total Cash From Financing Activities,-10425000.0,-7495000.0,-24386000.0
Change To Operating Activities,-20945000.0,2848000.0,-2470000.0
Net Income,58561000.0,702000.0,17126000.0
Change In Cash,66173000.0,13330000.0,-21325000.0
Total Cash From Operating Activities,103409000.0,57821000.0,43280000.0
Depreciation,31525000.0,30424000.0,31611000.0
Change To Inventory,1762000.0,-3797000.0,-4920000.0
Change To Account Receivables,1813000.0,-5632000.0,-4304000.0
Change To Netincome,-7276000.0,3590000.0,4994000.0
Capital Expenditures,-20630000.0,-27444000.0,-28786000.0
Dividends Paid,,-1240000.0,-1240000.0
Other Cashflows From Financing Activities,,,-724000.0
