Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day
2017-09-29,424.1900024414063,429.4500122070313,423.8900146484375,425.75,394.8412780761719,29200,NEU,0.9404344930372244,0.9445074063473792,0.9767054184447724,1.0206479989635429,-0.08021350592631848,-0.14575298237506684,-0.11258778054643048
2017-10-02,426.2300109863281,429.4400024414063,426.2300109863281,428.9299926757813,397.7904357910156,21400,NEU,0.9461916437977516,0.9375516933635408,0.9701698461433652,1.012478214064533,-0.06628657026678142,-0.15115586239785883,-0.11896103233356858
2017-10-03,429.4700012207031,434.010009765625,428.0199890136719,433.8599853515625,402.3625183105469,30900,NEU,0.9270271448957744,0.930023971120886,0.9538446135893996,1.0113391723313174,-0.084312027435543,-0.15993940388401606,-0.1279560286311725
2017-10-04,434.489990234375,434.489990234375,425.760009765625,430.010009765625,398.7920227050781,32600,NEU,0.9230017990273208,0.929450105554823,0.9656220411112448,1.0126829906128405,-0.08968119158551968,-0.1590335814667434,-0.1243373254854192
2017-10-05,431.8500061035156,433.4800109863281,429.5700073242188,431.7900085449219,400.4427490234375,14600,NEU,0.9282290079919474,0.9215938961604696,0.966126742036936,1.0121464877707815,-0.08391747977883413,-0.16120657952264306,-0.1317950067343231
2017-10-06,431.3500061035156,432.2999877929688,429.1400146484375,432.2999877929688,400.9157409667969,16200,NEU,0.9270646340580612,0.9276404033216498,0.9639835925550996,1.0081446760609294,-0.08108004200286822,-0.1673028195053864,-0.136589473880664
2017-10-09,432.760009765625,432.760009765625,426.6900024414063,428.1000061035156,397.0206604003906,20700,NEU,0.929292221966086,0.9330572187111752,0.9502078969079154,1.0143616235707735,-0.08506940160468757,-0.17065820624147743,-0.14827424926878152
2017-10-10,429.8999938964844,430.0400085449219,427.4599914550781,430.0400085449219,398.81982421875,15300,NEU,0.915612531112915,0.9356222827850238,0.9403854818232016,1.008797349947511,-0.09318481883459595,-0.1572283933589218,-0.148911830870754
2017-10-11,430.6499938964844,430.9800109863281,429.3699951171875,430.4700012207031,399.2186584472656,15800,NEU,0.9176016506241554,0.9310704954448604,0.945070085861841,1.0091988628593096,-0.09159721223515416,-0.17016171229784594,-0.14302696433115258
2017-10-12,430.7300109863281,432.8599853515625,429.3399963378906,432.2000122070313,400.822998046875,30800,NEU,0.9141138593628466,0.9226484692444928,0.9240857890655884,1.0112728774332036,-0.09715901807035698,-0.1760364565788598,-0.15194931189954108
